name,Control,CIP,FDR,AveExpr,P value,CTRL1,CTRL2,CIP1,CIP2,CTRL1 CPM,CTRL2 CPM,CIP1 CPM,CIP2 CPM
nirB,0,-0.730616286403484,0.00993382498870285,6.17532631263844,0.00147543205614521,442,1003,339,388,98.178,100.528,45.834,60.040
lysA,0,-0.735451961316556,0.0099436744321149,6.07439852945204,0.00147997546465753,472,837,390,286,104.842,83.890,52.729,44.256
cadC,0,-0.966912648021377,0.0099436744321149,4.14303951472493,0.00148140455825385,134,237,77,84,29.764,23.754,10.411,12.998
holC,0,0.579897206908104,0.00995041445419944,6.0839936325007,0.00148466501380119,266,594,581,493,59.085,59.535,78.553,76.288
mdtE,0,-0.726014136167875,0.00997374261931405,4.71161163126196,0.00149040734379319,161,361,141,122,35.762,36.182,19.064,18.879
yhgF,0,0.631967209853323,0.0100051792565122,7.63654164379708,0.00149737376628074,826,1600,1881,1352,183.473,160.363,254.317,209.212
rpoN,0,0.535994827053528,0.0100148526918071,9.49932274117696,0.00150109243294433,2789,6689,5927,5325,619.499,670.418,801.349,824.004
npr,0,0.720844193289119,0.0100854756949398,4.82601130151929,0.00151396483221091,114,222,255,213,25.322,22.250,34.477,32.960
ileS,0,0.598038213694005,0.0101627199856178,10.7153233989638,0.00153247364862491,6146,15705,14652,12127,1365.163,1574.064,1980.996,1876.562
ymjE,0,1.25274954321425,0.0101627199856178,3.64177867106552,0.00153232047188331,29,105,124,134,6.442,10.524,16.765,20.735
tatB,0,0.764636155874674,0.0101627199856178,7.56343673637626,0.00152892138813141,596,1801,1726,1481,132.385,180.509,233.361,229.174
letB,0,0.541768859938413,0.0102792057654371,8.34270818149105,0.0015547007359516,1245,2996,2799,2282,276.542,300.280,378.434,353.122
yqhD,0,0.87581239577117,0.0102792057654371,5.09302153572665,0.00155407583878582,104,304,351,260,23.101,30.469,47.456,40.233
prfA,0,0.622052813736679,0.0103069691292826,7.15579959445299,0.00156123704724734,505,1335,1202,1093,112.172,133.803,162.514,169.133
atpE,0,0.581281727904273,0.0103223184537972,9.4012339460481,0.00156590273142637,2481,6363,5657,5023,551.085,637.744,764.844,777.271
apaG,0,0.561274911275844,0.0103470228806041,6.65245971629455,0.00157199667347047,387,908,870,717,85.961,91.006,117.627,110.950
