name,Control,Treatment,FDR,AveExpr,P value,CRTL1,CRTL2,T2,T1,CRTL1 CPM,CRTL2 CPM,T2 CPM,T1 CPM
tdk,0,-2.02376963347252,0.000153571659543676,4.74405699637733,0.00000250729240071308,277,539,71,99,62.059,54.540,11.100,13.525
sra,0,-1.24486354387587,0.000158832506297352,9.45222799052403,0.00000262920021762057,5369,10961,2804,3012,1202.867,1109.108,438.381,411.494
yebO,0,-1.41880952948251,0.000161015800709946,8.04540599445357,0.0000027748754770875,2263,4169,1022,1042,507.001,421.848,159.781,142.356
yedE,0,-2.29807164127282,0.000161015800709946,4.36716401311203,0.00000273322283992407,204,514,50,70,45.704,52.010,7.817,9.563
fliI,0,1.9273662448968,0.000161015800709946,5.09552097835796,0.00000274521252120445,72,207,406,461,16.131,20.946,63.475,62.981
yahO,0,-1.62193889702135,0.000166858020305382,8.14802965114293,0.00000291339400533206,2770,4517,981,1088,620.589,457.061,153.371,148.641
fliT,0,2.2046545565567,0.000180675026297616,4.23319537804828,0.00000319561271002587,36,102,234,294,8.065,10.321,36.584,40.166
zapC,0,-2.58027330345441,0.00018657299164659,5.31566353076128,0.0000033422372653244,581,845,91,115,130.167,85.503,14.227,15.711
bdm,0,-2.57727196233096,0.00018792280358025,5.66794352441558,0.00000343966207357449,747,1059,132,131,167.357,107.157,20.637,17.897
fliK,0,1.91511710737665,0.00018792280358025,4.81424735879642,0.00000345164333106581,61,167,346,362,13.666,16.898,54.094,49.456
thiF,0,1.28651189647808,0.000192315063845526,8.58090929730555,0.00000357592635721839,1285,2371,3562,4088,287.891,239.914,556.888,558.495
rarA,0,1.22199940912754,0.000197427594683197,7.54634127564243,0.00000382537088929565,625,1217,1691,1957,140.025,123.144,264.373,267.362
ymgC,0,-3.80472581960963,0.000197427594683197,6.07388461696336,0.00000388155534197105,1544,2054,160,83,345.917,207.838,25.015,11.339
sufD,0,1.16617954757215,0.000197427594683197,7.59626026873847,0.00000389483009919232,628,1344,1710,2003,140.697,135.995,267.344,273.646
recX,0,3.44189981320828,0.000197427594683197,4.580237382196,0.00000374630373367255,57,52,499,448,12.770,5.262,78.014,61.205
ilvA,0,1.15781884629429,0.000197427594683197,7.88204617187279,0.00000385471393069842,776,1627,2130,2375,173.855,164.631,333.007,324.468
gabD,0,1.19739173502873,0.000212340757876221,7.73767052659152,0.00000423718519118083,719,1402,1908,2225,161.084,141.864,298.299,303.976
torI,0,-1.98366118866654,0.000216259790560485,5.60261914445719,0.00000436442661221841,545,878,154,155,122.101,88.842,24.077,21.176
upp,0,-1.60495117273769,0.000224482031648105,6.70585498712736,0.00000458126595200215,835,2011,313,465,187.073,203.487,48.935,63.527
cho,0,1.42227476580136,0.000227667306307606,5.93256474877432,0.00000469789679682361,179,392,561,726,40.103,39.665,87.707,99.185
flgM,0,1.4605637512908,0.000229108450820897,6.08360548437868,0.00000477958672914343,180,461,703,745,40.327,46.647,109.908,101.781
flgD,0,1.72559935250131,0.000237427479837103,6.53720366431762,0.00000500697406459198,204,627,1019,1174,45.704,63.444,159.312,160.390
pnuC,0,-1.19964628580675,0.000240679385599806,7.04280067052046,0.0000051301274935106,969,2087,499,617,217.094,211.177,78.014,84.293
flgN,0,1.44947381493284,0.000241988665472461,6.0253391529188,0.00000526402404255832,207,383,675,691,46.376,38.755,105.530,94.403
yciY,0,-1.7706302758314,0.000241988665472461,5.38272811661295,0.00000526778047286989,421,725,127,160,94.321,73.360,19.855,21.859
gpp,0,1.13528051599875,0.000252725354556929,8.89975417088097,0.00000555881165351975,1637,3212,4262,4793,366.752,325.012,666.327,654.811
rpsT,0,-1.11873475169337,0.000253593618060634,10.4657647126631,0.0000056929179564632,10125,21721,5831,6440,2268.399,2197.878,911.626,879.822
nadB,0,-1.13487282828176,0.000253593618060634,8.05889614309274,0.00000566980783010863,1966,4019,1114,1185,440.461,406.670,174.164,161.893
ivy,0,-1.26811379537876,0.000268659308561038,7.69296458837288,0.00000615296829130723,1693,3083,823,880,379.299,311.959,128.669,120.224
slp,0,-1.87983325047322,0.000268659308561038,7.03976535432343,0.00000609377388893008,1274,2518,509,378,285.426,254.788,79.578,51.642
leuC,0,1.25088791604014,0.000277860492405795,10.4284461966718,0.00000645627421317614,4715,8552,12524,14746,1056.346,865.349,1958.019,2014.573
lgoT,0,1.66672289688617,0.000277860492405795,5.75913416039547,0.00000648971218090632,168,283,621,598,37.639,28.636,97.088,81.698
feoA,0,-1.4697602977184,0.000289456324913186,6.657135181427,0.00000689181725983776,775,1831,410,367,173.631,185.273,64.100,50.139
ridA,0,-1.10386749707496,0.000289456324913186,7.58720987958028,0.00000684416199465648,1366,2946,759,923,306.038,298.096,118.663,126.099
codB,0,-1.43597792193769,0.000293875645154827,6.87736717431918,0.00000706367763864211,916,2071,375,553,205.220,209.558,58.628,75.550
yjiT,0,-1.4183660213576,0.00029412564139921,5.54947669101033,0.00000713638177544568,356,829,163,205,79.758,83.884,25.484,28.007
proX,0,-1.20648756762781,0.000333577248941267,7.6996565492073,0.00000816923874958206,1412,3573,819,932,316.344,361.540,128.044,127.328
ydbK,0,1.06115135698237,0.000346443401374236,9.24719639158465,0.00000856288679133599,2053,4363,5059,6212,459.953,441.478,790.931,848.673
rmuC,0,1.35181952954949,0.000361669952678256,6.38038640326388,0.00000902124598517193,224,602,795,924,50.185,60.914,124.291,126.235
gor,0,1.02596577539931,0.000375930252174168,7.9495266464413,0.00000946219002071036,850,1787,2084,2433,190.433,180.821,325.815,332.392
cspE,0,-2.26057996704339,0.00038648757908001,12.7018358653413,0.00000990319647075763,94032,113799,20053,18962,21066.871,11514.952,3135.112,2590.555
flhB,0,1.92396850415207,0.00038648757908001,3.81456289737333,0.00000983479465053372,31,81,165,190,6.945,8.196,25.796,25.957
rapA,0,1.06016601499067,0.000387852175270622,8.08353097677843,0.0000101140589923178,908,1966,2232,2803,203.428,198.933,348.954,382.941
cusB,0,1.51249549436299,0.000387852175270622,10.5498783979022,0.0000100959296189382,3720,10760,16083,16198,833.427,1088.770,2514.437,2212.942
rnr,0,1.22860230034763,0.000394253250112006,9.40261653862664,0.000010370380275055,2116,4679,6869,6369,474.067,473.453,1073.908,870.122
narG,0,-1.48142766403112,0.000405400744224497,5.7029764689007,0.0000107555299488132,436,878,211,187,97.681,88.842,32.988,25.548
rhlB,0,1.08814427216226,0.000451888140313764,9.8107553557261,0.0000120913379947901,3187,6020,8003,8748,714.014,609.144,1251.200,1195.136
leuB,0,1.06002616231071,0.000460424519152902,9.81682884165289,0.0000124241536914275,3194,6177,7591,9121,715.582,625.031,1186.787,1246.095
lnt,0,1.07713347902105,0.000466309933492306,7.80148728952432,0.0000127944448872039,761,1570,1817,2353,170.494,158.863,284.072,321.463
gadX,0,-1.69994405449745,0.000466309933492306,8.97410433925784,0.0000126939623243,5259,7875,1877,1698,1178.223,796.846,293.453,231.978
yfjW,0,-1.88780329872789,0.000468001121985431,5.85245338702888,0.000012946969814563,618,1017,214,170,138.456,102.907,33.457,23.225
bisC,0,1.06683997072287,0.000474032534164028,7.54850382459387,0.0000132213155787246,605,1395,1545,1942,135.544,141.156,241.547,265.313
yeaQ,0,-1.76346684954695,0.000500429915199841,9.4952535275988,0.000014071045234644,8134,10950,2326,2703,1822.336,1107.995,363.650,369.279
ydeI,0,-1.62464708261648,0.000507243534021467,5.37279577717771,0.0000143776511910847,407,669,143,155,91.184,67.694,22.357,21.176
yeeD,0,-1.24515499165535,0.000514380482520053,5.54754084247443,0.0000146965852148586,351,748,173,216,78.638,75.688,27.047,29.510
ybjX,0,-1.08546951632732,0.000515456688602954,6.71276186233372,0.000015005531520368,755,1564,450,469,169.150,158.256,70.354,64.074
glcF,0,1.35094090723885,0.000515456688602954,5.3161826520646,0.0000153117519743735,128,247,401,407,28.677,24.993,62.693,55.604
asd,0,1.02341419936045,0.000515456688602954,11.201019447447,0.0000152164947060815,7765,17794,20437,22462,1739.666,1800.517,3195.147,3068.719
hslU,0,1.00673337496527,0.000515456688602954,8.30249940645503,0.0000150921675973017,1139,2207,2686,3036,255.181,223.319,419.933,414.773
ytfK,0,-1.34914347156665,0.000515456688602954,7.34195022051907,0.0000150072045227468,1417,2396,654,643,317.464,242.443,102.247,87.846
trpE,0,1.06208335318116,0.000530254842146402,7.84913661762765,0.0000158715735064229,810,1594,2108,2142,181.472,161.292,329.567,292.636
csgD,0,-1.65857389933264,0.000556778036653742,5.58427073503148,0.0000167917185657478,486,769,167,174,108.883,77.813,26.109,23.772
spy,0,-1.22864352455917,0.000558151452814995,5.41271956622363,0.000016991026553004,315,681,170,185,70.572,68.908,26.578,25.274
nlpA,0,-1.1624923537681,0.000558151452814995,7.00598443174717,0.0000170862689637243,857,2178,497,606,192.002,220.385,77.702,82.791
minC,0,-1.063765576325,0.000562126932112776,7.11420451596954,0.0000176006953629966,1005,2025,539,692,225.160,204.903,84.268,94.540
yoaA,0,1.16211348492412,0.000562126932112776,6.99946892691464,0.0000175180801728887,377,970,1102,1370,84.463,98.151,172.288,187.167
yeiB,0,1.02716946292982,0.000562126932112776,6.73426782663021,0.0000175936893326109,375,753,900,1041,84.015,76.194,140.707,142.220
artJ,0,-1.26244727974549,0.000584568760896913,6.98412911067176,0.0000185830980407719,944,2067,427,635,211.493,209.153,66.758,86.753
stpA,0,-2.18905354190085,0.000584672383572206,4.35797747835301,0.0000188261855934815,225,440,42,86,50.409,44.522,6.566,11.749
gadA,0,-1.10612163989838,0.000585012548244562,7.97822947540227,0.000018969794648293,1753.46,3954.87,934.515,1286.83,392.844,400.180,146.103,175.804
yigZ,0,1.21323602143783,0.000601329201698928,5.97597982162746,0.0000196352392391487,199,432,621,604,44.584,43.713,97.088,82.517
ilvX,0,-1.88366819779528,0.000625699672413683,5.34323826930553,0.0000205728917233524,465,678,125,141,104.178,68.605,19.543,19.263
dinI,0,1.4981484561833,0.00062616458251044,5.41683299124652,0.0000207301653166722,141,236,464,442,31.590,23.880,72.542,60.385
ychH,0,-1.11725718611399,0.000632703503065889,5.78398197333651,0.000021090116768863,394,845,222,256,88.272,85.503,34.708,34.974
tatE,0,-1.22661214600561,0.000636258945691332,5.92128828721271,0.0000216414607378004,464,937,259,246,103.954,94.812,40.492,33.608
flgC,0,1.43617072179211,0.000636258945691332,4.84744207379804,0.0000214160496704276,75,200,278,336,16.803,20.237,43.463,45.904
katG,0,1.07679768763233,0.000636258945691332,9.14339340676545,0.0000215682162778728,2072,3702,4796,5738,464.210,374.593,749.813,783.916
ariR,0,-4.12741049186722,0.000641085942889691,5.31654092901112,0.0000221258213255577,1146,1221,85,43,256.749,123.549,13.289,5.875
uspF,0,-1.26100430011169,0.000641085942889691,5.52304732313157,0.0000222417572022954,373,693,180,197,83.567,70.122,28.141,26.914
ugd,0,-1.04138025807696,0.000641085942889691,6.36321444913424,0.0000221386143690328,569,1238,352,381,127.478,125.269,55.032,52.052
sufS,0,1.00454863719967,0.00064585651682303,7.38246699885146,0.000022609558278186,611,1155,1389,1630,136.888,116.871,217.158,222.688
fliG,0,1.35955429339854,0.00064585651682303,5.3752759660176,0.0000228312752585354,111,298,382,481,24.868,30.154,59.722,65.713
gabT,0,1.01125014035785,0.000647098230178029,8.08713839906209,0.0000230372839315081,1003,1856,2262,2679,224.712,187.803,353.644,366.000
emrE,0,-2.05861789632118,0.000675080370029037,3.6063000113268,0.0000244927118377882,132,238,40,35,29.573,24.082,6.254,4.782
puuC,0,1.20633740628527,0.000677386256498316,6.58497553010834,0.0000247299744435893,343,597,920,928,76.846,60.408,143.834,126.782
glgS,0,-1.67724772902028,0.000684833790744089,6.17212583180503,0.000025157159659987,766,1115,234,278,171.614,112.823,36.584,37.980
glsA,0,-1.39719114407452,0.000691119367832135,7.38710223169831,0.0000255447748200993,1561,2397,636,680,349.725,242.545,99.433,92.900
dctR,0,-1.86892894774896,0.000707802801397754,4.74152588099517,0.0000264824177393718,295,457,91,85,66.092,46.242,14.227,11.613
argR,0,-1.00392475411653,0.000721604390109067,6.4078166873193,0.0000273260619383705,571,1278,360,407,127.926,129.317,56.283,55.604
yciF,0,-1.20806871739872,0.000735877132770233,5.41598090166463,0.0000282456692706261,314,679,155,206,70.348,68.706,24.233,28.143
ruvA,0,1.03423368461814,0.000735877132770233,6.24148539355622,0.0000283671457076961,244,574,660,729,54.666,58.081,103.185,99.595
pdeL,0,-1.66173239709894,0.000743021618517242,4.13875548173005,0.0000288110423506686,148,335,51,77,33.158,33.898,7.973,10.520
astD,0,1.7486063906568,0.000746871441868902,3.65570971577552,0.0000295946354509452,38,64,138,151,8.513,6.476,21.575,20.629
yeeE,0,-1.1915011215522,0.000746871441868902,6.50971196775946,0.0000303955861649894,629,1523,324,457,140.921,154.107,50.655,62.435
lhgD,0,1.07418822429176,0.000746871441868902,5.95617000362226,0.0000306539072513087,221,422,541,605,49.513,42.701,84.581,82.654
rlmJ,0,1.18504908090566,0.000746871441868902,6.84970604372952,0.000030515700360818,427,705,1003,1207,95.665,71.337,156.810,164.898
metF,0,-1.47520544962102,0.000746871441868902,6.381670706334,0.0000304699512574431,601,1621,257,397,134.648,164.024,40.180,54.237
