GENE,Control,Treatment,FDR,AveExpr,P value,CRTL1,CTRL2,CTRL3,T1,T2,T3,CRTL1 CPM,CTRL2 CPM,CTRL3 CPM,T1 CPM,T2 CPM,T3 CPM
,0,-1.7112561078983,0.0000295192531600385,4.44856714658698,2.52679075492582e-7,1677,1017,722,266,250,319,33.291,45.131,36.852,11.846,12.633,12.989
,0,-1.87372866581372,0.0000295192531600385,5.30227896305115,2.55197001532603e-7,3115.2,1927,1428,415,454,565,61.841,85.513,72.888,18.481,22.942,23.005
,0,2.80614720469211,0.000030840738553692,4.9036812168277,2.71218299995205e-7,486,239,252,2226,1777,1499,9.648,10.606,12.863,99.131,89.798,61.034
glpK,0,-2.79155160213767,0.0000309557318102372,6.87502667236644,2.7684362924642e-7,18971,8694,3725,986,945,1107,376.600,385.808,190.131,43.910,47.754,45.073
,0,-1.81655027801219,0.0000310424251530828,5.07614645336959,2.82245928504703e-7,2870,1497,1181,371,413,458,56.973,66.431,60.280,16.522,20.870,18.648
glpD,0,-2.84483744805963,0.0000315938924779989,8.04442721661581,2.99990336449818e-7,47521,16889,9222,2079,1957,2727,943.356,749.472,470.708,92.585,98.894,111.034
,0,-1.90383231440119,0.0000315938924779989,3.17895436706691,3.06096737378138e-7,738,457,320,100,89,137,14.650,20.280,16.333,4.453,4.497,5.578
,0,2.96423293255669,0.0000315938924779989,3.26392390537055,2.99955240985789e-7,169,102,45,716,659,510,3.355,4.526,2.297,31.886,33.301,20.766
,0,-1.75494695235324,0.0000315938924779989,4.18703458513247,3.02929149471635e-7,1546,886,548,205,210,272,30.690,39.317,27.971,9.129,10.612,11.075
,0,2.55607175862924,0.0000319284049964721,3.22544082192676,3.18420121945784e-7,163,112,62,522,596,453,3.236,4.970,3.165,23.246,30.118,18.445
,0,3.13129867242881,0.0000319284049964721,2.98346020409583,3.18855736289109e-7,132,66,42,546,680,426,2.620,2.929,2.144,24.315,34.363,17.345
hxuB_2,0,1.81661513836204,0.0000320611911931664,5.96509683688656,3.24960650042528e-7,1489,918,539,2724,2255,3180,29.559,40.737,27.512,121.309,113.952,129.479
,0,2.45387871184823,0.0000322183210359421,3.61963438169962,3.36157769043962e-7,263,113,96,823,593,593,5.221,5.015,4.900,36.651,29.966,24.145
,0,-1.90699530505263,0.0000322183210359421,5.47818082382604,3.33109567675974e-7,3938,2192,1494,439,495,677,78.175,97.273,76.257,19.550,25.014,27.565
lasB,0,2.74283509480134,0.0000346466107558377,6.04910648469151,3.66658125453045e-7,1247,685,395,5496,3422,3215,24.755,30.398,20.162,244.755,172.925,130.904
,0,2.59748625155191,0.0000364187683831929,4.74140923800451,3.90840859083305e-7,424,253,242,1917,1343,1322,8.417,11.227,12.352,85.370,67.866,53.827
,0,1.80367939812977,0.0000365622876823072,6.35634453714881,3.9783082438641e-7,2087,1034,783,3784,2936,3904,41.430,45.885,39.966,168.514,148.366,158.958
pelB,0,1.93385161147468,0.0000369174756995113,4.34550066098336,4.07198271242187e-7,474,303,155,818,812,1150,9.410,13.446,7.911,36.428,41.033,46.824
pilE,0,-2.02472039915613,0.0000369804227997627,5.42555091338026,4.1340463705205e-7,3994,2132,1533,507,514,448,79.286,94.610,78.247,22.578,25.974,18.241
,0,2.29060217144926,0.0000380990041373995,4.50702919283081,4.31588062966517e-7,495,257,170,1305,1219,968,9.826,11.405,8.677,58.116,61.600,39.414
,0,2.29968251680512,0.0000413440384832754,5.27882931143554,4.76550706832143e-7,883,385,316,2360,1928,1693,17.529,17.085,16.129,105.099,97.428,68.933
,0,2.8387847703767,0.0000413440384832754,4.39275257357141,4.80672976851317e-7,337,216,133,1662,1351,951,6.690,9.585,6.789,74.014,68.270,38.722
,0,-2.1851866191095,0.0000419485126233139,5.42750546475285,4.9395327131343e-7,4659,2560,1315,426,502,458,92.487,113.603,67.120,18.971,25.368,18.648
,0,2.53283434412778,0.0000422241200190919,2.98795209175437,5.03492264350477e-7,136,73,73,432,493,384,2.700,3.239,3.726,19.238,24.913,15.635
,0,1.75777914976111,0.0000442404102103366,3.29534281193535,5.34129263234053e-7,240,135,93,447,384,414,4.764,5.991,4.747,19.906,19.405,16.857
yohC_1,0,2.15182351734015,0.0000452557563859951,3.69678186611654,5.5987893576354e-7,278,158,105,792,539,579,5.519,7.011,5.359,35.270,27.237,23.575
hrp1_2,0,2.62094515016996,0.0000452557563859951,6.60590799247823,5.55821792857635e-7,2127,718,800,6248,5115,5299,42.224,31.862,40.833,278.244,258.477,215.758
cheD,0,-1.88531507622025,0.0000476382067460774,3.19870424013641,5.96453922592115e-7,824,383,347,107,107,114,16.358,16.996,17.712,4.765,5.407,4.642
phzC2_1,0,2.15963496736008,0.000049789708027155,3.02806205397625,6.38234444825656e-7,203,106.5,50.5,441,345.5,421,4.030,4.726,2.578,19.639,17.459,17.142
phzC2_2,0,2.15963496736008,0.000049789708027155,3.02806205397625,6.38234444825656e-7,203,106.5,50.5,441,345.5,421,4.030,4.726,2.578,19.639,17.459,17.142
htpG,0,2.32530201682218,0.0000506153170940264,8.79221166661694,6.62043518244574e-7,9525,5091,3214,21508,16757,32790,189.084,225.920,164.048,957.823,846.785,1335.100
oprD_3,0,-1.79813241007167,0.0000506153170940264,4.59574645588467,6.63906380127339e-7,2222,1226,678,284,247,372,44.110,54.405,34.606,12.647,12.482,15.147
,0,2.06448201646123,0.0000511875448682588,8.60771497389898,6.79041808507234e-7,8354,5250,3163,16078,16138,23756,165.838,232.976,161.445,716.007,815.505,967.266
,0,2.88596919427595,0.0000520768778865038,4.92399747410567,6.98601730479257e-7,531,267,197,2496,2055,1318,10.541,11.848,10.055,111.155,103.846,53.665
osmC,0,2.43153373856484,0.0000528320964983639,7.05259565641238,7.16607658570743e-7,3009,1153,1086,8951,5885,6685,59.733,51.166,55.431,398.618,297.388,272.191
mmsB,0,2.29297134965389,0.0000540609942755599,5.90963693056404,7.41334248524596e-7,1298,779,397,3956,2476,2905,25.767,34.569,20.264,176.174,125.120,118.282
,0,1.62686316906857,0.0000546338356759492,4.43861164182792,7.73619673455832e-7,555,329,205,944,799,888,11.017,14.600,10.464,42.039,40.376,36.156
,0,1.82130848583486,0.0000546338356759492,5.11934965019181,7.70463181458563e-7,854,490,302,1752,1338,1439,16.953,21.744,15.415,78.022,67.613,58.591
pilX,0,-1.80253311036997,0.0000546338356759492,5.63289655710316,7.68909435888108e-7,4401,2348,1550,658,594,577,87.366,104.196,79.115,29.303,30.017,23.494
,0,2.66147383951289,0.0000549309819372615,6.21536641878953,7.86014944995842e-7,1307,645,617,5467,4426,3238,25.946,28.623,31.493,243.464,223.660,131.841
atoE,0,1.75717196294862,0.0000574563001823485,5.28576159251845,8.30714132909197e-7,1078,559,317,1661,1575,1705,21.400,24.806,16.180,73.970,79.590,69.422
,0,1.71338600789175,0.0000597925083778931,4.83812908665133,8.82316042541574e-7,711,365,304,1294,1116,1161,14.114,16.197,15.517,57.626,56.395,47.272
arcC,0,-2.72389088119428,0.0000597925083778931,9.42893196051349,8.80501766174371e-7,120135,42808,22555,5771,5724,6791,2384.842,1899.662,1151.249,257.002,289.252,276.507
,0,-1.6804116941184,0.0000610787027490742,5.34802272551579,9.10399504383279e-7,3646,1853,1158,517,515,530,72.378,82.229,59.106,23.024,26.025,21.580
,0,-2.62082161655619,0.0000655911525777255,5.41457131495404,9.87435744574494e-7,6195,3173,1245,327,353,515,122.979,140.806,63.547,14.562,17.838,20.969
,0,2.50656713051717,0.0000674762827171409,4.78535094910017,0.00000106453812451846,607,354,142,1762,1451,1359,12.050,15.709,7.248,78.468,73.324,55.334
ibpA,0,3.20051242835256,0.0000674762827171409,8.36642286994122,0.0000010761607170568,4702,2310,2353,38236,14581,21995,93.341,102.509,120.101,1702.776,736.825,895.564
,0,1.92903384472432,0.0000674762827171409,4.8399042893756,0.00000106466826286641,758,412,201,1373,1168,1323,15.047,18.283,10.259,61.144,59.023,53.868
arcB,0,-2.73208398588234,0.0000674762827171409,10.0086554591703,0.00000107001186773758,186466,56033,37273,8823,8463,9974,3701.602,2486.538,1902.483,392.918,427.663,406.108
pyrQ,0,1.83189719964552,0.0000674762827171409,4.24772228934103,0.00000105051134398855,480,253,167,942,789,751,9.529,11.227,8.524,41.950,39.871,30.578
nylB',0,1.92254398991003,0.0000674762827171409,4.18622138453055,0.00000106620817531689,399,228,180,999,703,762,7.921,10.118,9.188,44.489,35.525,31.026
ctaA,0,2.02172640159619,0.0000734566146482072,3.13031436507809,0.00000118553693194906,186,126,69,436,420,363,3.692,5.591,3.522,19.417,21.224,14.780
,0,1.54334174616423,0.0000734566146482072,5.26823345150601,0.00000119343732250031,989,635,366,1530,1395,1615,19.633,28.179,18.681,68.136,70.494,65.757
,0,-2.15404842571973,0.0000759493508420588,4.52226118846418,0.00000125587595931996,2146.25,1460.58,729.819,185.194,243.25,344.171,42.606,64.815,37.251,8.247,12.292,14.014
ybhN,0,1.93864235937215,0.0000759493508420588,3.66125686472961,0.00000125657742487234,303,144,123,650,554,509,6.015,6.390,6.278,28.947,27.995,20.725
senC,0,-1.95392509041652,0.0000773399817141318,5.95845459109522,0.00000129111312445711,5197,2554,2730,642,659,913,103.167,113.337,139.344,28.590,33.301,37.174
znuC,0,-1.51990688700433,0.0000796377915573952,6.29054213040421,0.00000134134303860272,5686,3517,2326,1017,1021,1154,112.875,156.072,118.723,45.290,51.594,46.987
,0,1.74078373999419,0.0000807035898612516,4.1135360634762,0.00000137132348251344,427,279,141,754,706,724,8.477,12.381,7.197,33.578,35.676,29.479
coIII,0,2.12889057232255,0.0000807733588927746,6.00291850261357,0.00000139125777157467,1359,636,670,3141,3307,2800,26.978,28.223,34.198,139.879,167.113,114.007
,0,-2.408550753453,0.0000807733588927746,8.48000462266264,0.00000140862766290872,46091,24435,10210,3591,2839,4288,914.969,1084.335,521.137,159.919,143.464,174.593
ambA_2,0,-1.99652325827785,0.0000807733588927746,3.18137593533521,0.0000014062046383396,843,471,298,78,122,118,16.735,20.901,15.210,3.474,6.165,4.805
metR,0,-1.52770049170044,0.0000815756221458304,4.96565567536593,0.00000143477767375287,2178,1368,998,376,413,487,43.236,60.707,50.940,16.745,20.870,19.829
,0,2.44710953550657,0.0000815844592601448,3.35485691187681,0.00000144709355372742,241,100,67,670,567,446,4.784,4.438,3.420,29.837,28.652,18.160
,0,-1.67844452403627,0.00008324006439516,4.27299843210561,0.00000150127407837448,1694,939,521,257,240,246,33.628,41.669,26.593,11.445,12.128,10.016
,0,1.94905645836603,0.00008324006439516,7.75185117491763,0.00000149040450664108,5325,2895,1721,8981,7541,13537,105.708,128.469,87.843,399.954,381.071,551.182
,0,1.77209599256395,0.0000876599921519362,4.72085208921709,0.00000159758695832805,672,397,217,1209,1115,1040,13.340,17.617,11.076,53.841,56.345,42.345
atoB,0,2.78512629067305,0.0000876599921519362,7.88641223183163,0.0000016593221015533,5150,2780,1055,15180,13204,14058,102.234,123.366,53.849,676.016,667.241,572.395
,0,-2.61057180070607,0.0000876599921519362,4.28962229303727,0.00000163992152041382,2824,1350,606,141,149,277,56.060,59.908,30.931,6.279,7.529,11.279
,0,-1.68410790422062,0.0000876599921519362,4.11165217397274,0.00000166283791328044,1450,884,466,205,184,285,28.784,39.229,23.785,9.129,9.298,11.604
pctB,0,-1.93250622625401,0.0000876599921519362,7.66708532497429,0.00000164343902983534,21200.5,10586.1,5723.4,2410.14,2308.59,2392.02,420.859,469.772,292.133,107.332,116.661,97.395
desT,0,-1.78259386850389,0.0000876599921519362,4.56174557246535,0.00000167245178051093,1937,1109,783,223,286,390,38.452,49.213,39.966,9.931,14.453,15.880
glnA,0,-1.98008851060084,0.0000876599921519362,9.72967569681021,0.00000162300043737182,83389,43970,26499,9238,9117,11108,1655.384,1951.227,1352.558,411.399,460.711,452.281
,0,2.28085070792522,0.0000925817427627222,4.91815283640916,0.00000179395238622058,789,366,176,1552,1115,2096,15.663,16.242,8.983,69.116,56.345,85.342
accB,0,-1.85448994923466,0.0000925817427627222,7.74257111460556,0.00000178865555525402,21134,10851,6009,2250,2469,3057,419.538,481.527,306.710,100.200,124.767,124.471
,0,-2.13015638428707,0.0000927913837460427,5.44572120782079,0.00000182567635332801,4932,2768,1137,502,399,533,97.907,122.834,58.035,22.356,20.163,21.702
,0,-1.57189100745047,0.0000927913837460427,5.06441395433591,0.00000181722639227816,2822,1531,895,412,452,471,56.021,67.940,45.682,18.348,22.841,19.178
flgE,0,-1.89603600316029,0.0000930979172265635,7.32109301964841,0.00000184558399033134,16163,8578,4341,1905,1832,1930,320.857,380.660,221.573,84.836,92.577,78.583
,0,1.8184633668592,0.000094663392154171,3.32101767616031,0.0000018907280591234,277,135,78,492,396,419,5.499,5.991,3.981,21.910,20.011,17.060
mqoA,0,-1.5219861776355,0.00010753690113899,6.33440417424152,0.00000216388159990514,6465,3451,2306,947,1017,1350,128.339,153.143,117.702,42.173,51.392,54.968
atuD,0,1.52947744173486,0.000107566350927339,3.87626319121235,0.00000219654047951191,409,193,163,630,486,612,8.119,8.565,8.320,28.056,24.559,24.919
,0,-2.54135918622961,0.000107566350927339,4.62885351798396,0.00000218980146854869,2680,1574,1018,189,159,428,53.202,69.848,51.961,8.417,8.035,17.427
,0,-1.92438929346804,0.000108812036750328,6.56811074192157,0.00000224864130999372,10087,5197,2481,1045,1112,1170,200.241,230.624,126.635,46.537,56.193,47.639
,0,1.87932283955358,0.000108812036750328,7.65525655049857,0.00000225441542827479,4782,3175,1545,8442,8779,9362,94.929,140.895,78.860,375.950,443.631,381.190
glcE,0,-2.32888549523686,0.000110276083490637,4.39278462094399,0.00000230118522711123,2553,1512,549,197,192,258,50.680,67.097,28.022,8.773,9.702,10.505
,0,1.35173001940938,0.00011059061176416,3.82399238136216,0.000002324232562043,402,212,163,492,486,584,7.980,9.408,8.320,21.910,24.559,23.779
,0,2.00109059797382,0.000110618620671027,4.39149688856437,0.00000234130930619851,625,230,158,1103,737,1115,12.407,10.207,8.065,49.120,37.243,45.399
,0,-1.63032764541853,0.000111099140235426,5.24926870236234,0.00000238459922401273,3192,1855,1020,435,426,654,63.366,82.318,52.063,19.372,21.527,26.629
hslV,0,1.57258462635259,0.000111099140235426,6.21650031594109,0.00000237745564578302,2270,1048,678,2921,2472,3517,45.063,46.506,34.606,130.082,124.918,143.201
,0,1.89347825384929,0.000111719478978959,6.45047877878846,0.00000241456617259638,2375,1115,713,4835,3249,3655,47.147,49.480,36.393,215.319,164.182,148.820
,0,2.77713831191375,0.000116430126063943,4.7907219587252,0.00000256843920963832,592,334,117,2074,1648,1370,11.752,14.822,5.972,92.362,83.279,55.782
grpE,0,1.76813162963309,0.000116430126063943,6.90681001400393,0.00000255076202579214,3548,1666,944,5268,4413,5578,70.433,73.931,48.183,234.602,223.003,227.118
,0,-2.33750194848429,0.000116430126063943,7.13388160702693,0.00000255206028971004,14669,8823,4931,1329,1798,1220,291.199,391.532,251.687,59.185,90.859,49.674
,0,-1.36296478245691,0.000116624486050186,6.10275915137896,0.00000259011006431326,5178,2782,1869,937,900,1124,102.790,123.455,95.397,41.728,45.480,45.766
pncC_2,0,2.40228376322963,0.000117901969380825,1.61299220099173,0.00000263605535953552,75,35,16,175,172,148,1.489,1.553,0.817,7.793,8.692,6.026
,0,1.48657721499934,0.000118474769931785,4.79030792641322,0.00000266652112978082,730,442,279,1093,821,1342,14.491,19.614,14.241,48.675,41.488,54.642
arcA,0,-2.64191415403991,0.00011944824222075,10.2891141619315,0.00000270623532829841,225828,72887,38822,11089,10197,12887,4482.991,3234.457,1981.546,493.830,515.287,524.716
,0,2.53146675646697,0.000122095016941064,1.54287621735644,0.00000279770505216496,44,36,22,179,173,130,0.873,1.598,1.123,7.971,8.742,5.293
apt,0,-1.46998702067778,0.000122095016941064,6.25224013344584,0.00000280259839155222,5616,3291,2210,905,999,1287,111.485,146.042,112.802,40.303,50.483,52.402
lecA,0,1.84840497747633,0.000122704195134169,3.54305437199289,0.00000283487110535044,268,130,134,453,405,702,5.320,5.769,6.840,20.174,20.466,28.583
,0,-1.84200478684309,0.000128922145293213,4.63231296639003,0.00000300411889790171,1968,1205,868,317,336,256,39.067,53.473,44.304,14.117,16.979,10.423
,0,-1.69708464049372,0.000128922145293213,6.42877422551571,0.00000301695883306521,7235,3426,3016,1036,1182,1082,143.625,152.033,153.942,46.137,59.730,44.055
yciE,0,2.59132023319634,0.000129421590262964,4.84866230194605,0.00000304793728745689,485,218,310,2042,1508,1368,9.628,9.674,15.823,90.937,76.204,55.700
,0,2.08981626628258,0.000134077932522449,2.00917891248175,0.00000319756583747085,79,63,29,229,166,181,1.568,2.796,1.480,10.198,8.389,7.370
,0,3.54623737421125,0.000134077932522449,8.95267447294512,0.00000319284610853686,5864,2376,4284,42771,43033,32674,116.408,105.438,218.663,1904.735,2174.597,1330.377
ldhA_1,0,-1.79631269740621,0.000135673385273045,6.25676931758817,0.00000326629036167905,7492,3828,2062,1081,837,905,148.726,169.873,105.248,48.141,42.296,36.849
,0,2.37821489878603,0.000135673385273045,4.72106561991649,0.00000327606027936105,530,301,194,1865,1425,987,10.521,13.357,9.902,83.055,72.010,40.187
,0,1.3154196414015,0.0001374478725893,4.67008519779254,0.00000333939532449783,778,402,268,960,808,1011,15.444,17.839,13.679,42.752,40.831,41.165
yqeY,0,-1.94967771911432,0.000137664953132433,5.43937788313416,0.00000340063864984485,4253,2451,1207,435,398,741,84.428,108.766,61.608,19.372,20.112,30.171
,0,-1.53263710273957,0.000137664953132433,3.34126311412218,0.00000340622778655297,808,477,264,130,139,141,16.040,21.168,13.475,5.789,7.024,5.741
,0,1.42043485770499,0.000137664953132433,4.42828854675317,0.00000338862957730291,615,363,203,831,762,837,12.209,16.109,10.361,37.007,38.506,34.080
bdhA,0,1.81855831401637,0.000142248153177363,7.41123616917332,0.00000354083195418387,4198,2363,1516,8742,7078,6339,83.336,104.861,77.379,389.310,357.674,258.103
,0,1.89625141737462,0.000142490828982295,4.43579022257418,0.00000359581298294662,581,330,145,1098,844,961,11.534,14.644,7.401,48.898,42.650,39.129
